@RELATION GENERIC
@ATTRIBUTE demo1 REAL
@ATTRIBUTE demo2 {1.000000,0.000000}
@ATTRIBUTE demo3 REAL
@ATTRIBUTE demo4 REAL
@ATTRIBUTE demo5 {1.000000,0.000000}
@ATTRIBUTE psych1 REAL
@ATTRIBUTE psych2 REAL
@ATTRIBUTE psych3 REAL
@ATTRIBUTE psych4 REAL
@ATTRIBUTE psych5 REAL
@ATTRIBUTE psych6 REAL
@ATTRIBUTE psych7 REAL
@ATTRIBUTE psych8 REAL
@ATTRIBUTE psych9 REAL
@ATTRIBUTE psych10 REAL
@ATTRIBUTE psych11 REAL
@ATTRIBUTE psych12 REAL
@ATTRIBUTE psych13 REAL
@ATTRIBUTE psych14 REAL
@ATTRIBUTE psych15 REAL
@ATTRIBUTE psych16 REAL
@ATTRIBUTE psych17 REAL
@ATTRIBUTE history1 REAL
@ATTRIBUTE history2 REAL
@ATTRIBUTE history3 REAL
@ATTRIBUTE history4 REAL
@ATTRIBUTE history5 REAL
@ATTRIBUTE history6 REAL
@ATTRIBUTE history7 REAL
@ATTRIBUTE history8 REAL
@ATTRIBUTE history9 REAL
@ATTRIBUTE history10 REAL
@ATTRIBUTE history11 REAL
@ATTRIBUTE history12 REAL
@ATTRIBUTE history13 REAL
@ATTRIBUTE history14 REAL
@ATTRIBUTE history15 REAL
@ATTRIBUTE history16 REAL
@ATTRIBUTE history17 REAL
@ATTRIBUTE genetic1 REAL
@ATTRIBUTE genetic2 REAL
@ATTRIBUTE genetic3 REAL
@ATTRIBUTE genetic4 REAL
@ATTRIBUTE genetic5 REAL
@ATTRIBUTE genetic6 REAL
@ATTRIBUTE genetic7 REAL
@ATTRIBUTE genetic8 REAL
@ATTRIBUTE genetic9 REAL
@ATTRIBUTE genetic10 REAL
@ATTRIBUTE genetic11 REAL
@ATTRIBUTE genetic12 REAL
@ATTRIBUTE genetic13 REAL
@ATTRIBUTE genetic14 REAL
@ATTRIBUTE genetic15 REAL
@ATTRIBUTE genetic16 REAL
@ATTRIBUTE genetic17 REAL
@ATTRIBUTE brain1 REAL
@ATTRIBUTE brain2 REAL
@ATTRIBUTE brain3 REAL
@ATTRIBUTE brain4 REAL
@ATTRIBUTE brain5 REAL
@ATTRIBUTE brain6 REAL
@ATTRIBUTE class {1.000000,0.000000}
@DATA
14.090411,0.000000,3.000000,19.000000,1.000000,0.001270,98.000000,130.000000,21.000000,24.000000,21.000000,32.000000,1.800000,2.000000,2.000000,1.428571,3.600000,1.166667,2.583333,2.083333,2.583333,2.416667,0.500000,0.500000,0.330000,0.170000,0.200000,1.000000,0.290000,-1.000000,1.000000,-1.330000,-1.170000,-1.600000,0.000000,0.140000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,0.000000,2.000000,0.000000,1.000000,0.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000898,0.001304,-0.001420,0.000575,-0.000460,-0.000044,1.000000
14.432877,1.000000,4.000000,13.000000,1.000000,0.038700,86.000000,75.000000,23.000000,16.000000,26.000000,36.000000,2.600000,2.200000,2.200000,1.571429,2.600000,2.083333,1.916667,2.166667,2.333333,2.583333,0.250000,0.130000,0.000000,0.330000,0.000000,0.000000,0.000000,-1.250000,0.880000,-0.670000,-0.170000,-0.800000,-0.330000,-0.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000528,-0.000893,0.000933,-0.000326,0.000008,-0.000004,1.000000
15.706849,0.000000,3.000000,22.000000,0.000000,0.005070,105.929412,117.847059,29.000000,23.000000,18.000000,40.000000,2.400000,1.800000,1.800000,1.857143,3.400000,1.666667,2.250000,2.916667,2.833333,3.166667,0.750000,0.750000,0.330000,0.500000,0.200000,0.330000,0.430000,-1.250000,0.750000,-1.330000,-1.170000,-2.000000,0.000000,0.710000,0.000000,1.000000,1.000000,2.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,2.000000,0.001093,-0.000827,-0.000482,-0.000668,-0.000287,0.000003,1.000000
14.887671,1.000000,4.000000,17.000000,1.000000,0.082400,117.000000,97.000000,22.000000,20.000000,18.000000,33.000000,2.200000,1.400000,1.400000,1.428571,2.000000,1.250000,3.166667,2.083333,3.500000,2.083333,0.500000,0.380000,0.000000,0.330000,0.000000,0.670000,0.140000,-1.500000,1.130000,-1.330000,-1.000000,-1.600000,-1.000000,0.140000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,-0.000009,-0.000270,0.000514,-0.000009,0.000100,0.000051,1.000000
15.572603,1.000000,4.000000,14.000000,1.000000,0.002820,104.000000,103.000000,27.000000,22.000000,21.000000,34.000000,2.400000,2.000000,2.000000,2.571429,2.800000,2.500000,2.416667,1.583333,2.416667,3.000000,1.000000,0.250000,0.670000,0.330000,0.000000,0.670000,0.000000,-1.500000,1.000000,-0.330000,-1.170000,-2.000000,1.000000,-0.570000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000522,0.002572,0.000186,-0.000419,-0.000129,-0.000019,1.000000
15.230137,0.000000,4.000000,16.000000,1.000000,0.025500,106.000000,117.000000,26.000000,23.000000,24.000000,27.000000,2.200000,1.600000,1.600000,1.714286,2.000000,1.166667,2.083333,2.416667,2.666667,2.500000,0.750000,0.500000,0.000000,0.330000,0.000000,0.670000,0.140000,-1.250000,0.880000,-0.330000,-0.670000,-1.000000,-0.330000,0.290000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,-0.000119,0.000179,0.001525,0.000768,0.000055,-0.000145,1.000000
14.715068,0.000000,3.000000,22.000000,1.000000,0.021000,112.000000,115.000000,26.000000,21.000000,27.000000,30.000000,3.000000,2.800000,2.800000,2.142857,2.800000,1.916667,1.916667,2.166667,2.333333,2.250000,0.250000,0.130000,0.330000,0.170000,0.000000,0.000000,0.290000,-1.250000,0.250000,-0.670000,-0.670000,-1.600000,-0.330000,-0.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000422,0.001158,-0.000071,0.000512,0.000106,-0.000045,1.000000
14.846575,1.000000,4.000000,16.936000,0.000000,0.006530,123.000000,134.000000,22.000000,20.000000,28.000000,29.000000,2.000000,2.200000,2.200000,1.857143,2.600000,1.250000,2.833333,2.250000,2.333333,2.583333,0.750000,0.630000,0.000000,0.170000,0.400000,0.330000,0.000000,-0.750000,0.880000,-1.000000,-1.330000,-1.200000,0.000000,-0.140000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000748,-0.001855,-0.000567,0.001002,0.000092,-0.000092,1.000000
15.191781,1.000000,5.000000,16.000000,1.000000,0.003050,135.000000,117.000000,26.000000,24.000000,25.000000,35.000000,2.400000,3.000000,3.000000,1.142857,3.000000,2.500000,1.916667,3.000000,2.000000,2.166667,0.750000,0.750000,0.330000,0.500000,0.400000,0.670000,0.290000,-1.500000,1.250000,-1.670000,-1.170000,-1.800000,-1.330000,-0.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000910,0.001502,-0.000763,0.000719,-0.000012,-0.000118,1.000000
14.082192,1.000000,4.000000,21.000000,1.000000,0.000240,106.000000,128.000000,17.000000,14.000000,24.000000,30.000000,1.600000,2.000000,2.000000,1.142857,2.200000,1.583333,3.250000,2.750000,3.000000,3.000000,0.250000,0.500000,0.000000,0.170000,0.000000,0.330000,0.290000,-1.500000,1.250000,-1.330000,-1.170000,-1.000000,0.000000,0.140000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000591,-0.000752,0.000080,-0.000347,0.000159,-0.000030,1.000000
14.616438,1.000000,4.000000,24.000000,1.000000,0.001590,112.000000,111.000000,21.000000,14.000000,31.000000,29.000000,2.800000,2.800000,2.800000,1.571429,1.800000,2.833333,2.000000,2.500000,3.333333,3.166667,0.250000,0.380000,0.000000,0.500000,0.000000,0.330000,0.430000,-1.000000,1.250000,-1.670000,-1.170000,-1.000000,-0.670000,0.430000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.001530,0.001831,-0.000515,0.000134,0.000061,-0.000151,1.000000
14.569863,0.000000,4.000000,14.000000,1.000000,0.020000,94.000000,105.000000,28.000000,23.000000,20.000000,37.000000,1.800000,2.600000,2.600000,1.428571,3.400000,1.416667,2.333333,3.250000,2.500000,3.333333,0.750000,0.380000,0.330000,0.000000,0.400000,0.330000,0.000000,-1.750000,0.500000,-1.330000,-1.170000,-1.400000,-0.330000,-0.290000,0.000000,0.000000,0.000000,2.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,-0.000680,0.000692,0.002027,0.000517,-0.000255,-0.000495,1.000000
